"No","NOMOR_PBK","TGL_DOKUMEN","TGL_BERLAKU","JUMLAH_PBK","CURRENCY_PBK","TIPE_PBK","FG_STATUS","NPWP","KPP","CAB","NAMA","MAP","KD SETOR","MASA PAJAK","TAHUN PAJAK","KPPADM_LB","NPWP","KPP","CAB","NAMA","MAP","KD SETOR","MASA PAJAK","TAHUN PAJAK","NO PROD HUKUM","KPPADM_KB","NTPN"
"1","PBK-00597/III/WPJ.20/KP.0703/2022","20220322","20220210","767,450","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","2","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","2","2021","","007","4BF5F743N0N2RLAC"
"2","PBK-00598/III/WPJ.20/KP.0703/2022","20220322","20220308","105,000","IDR","MASA","SETUJU","021438502","007","000","KREATIF MANTANI","411128","409","2","2022","007","021438502","007","000","KREATIF MANTANI","411128","409","3","2022","","007","3602F83C81171KOB"
"3","PBK-00599/III/WPJ.20/KP.0703/2022","20220322","20220210","53,382","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","3","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","3","2021","","007","5EDC33IDNMDHCHDS"
"4","PBK-00600/III/WPJ.20/KP.0703/2022","20220322","20220210","305,200","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","4","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","4","2021","","007","CFF3300NOC3VV8B8"
"5","PBK-00601/III/WPJ.20/KP.0703/2022","20220322","20220210","819,700","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","5","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","5","2021","","007","DD6CD3IDNMDHN3CS"
"6","PBK-00602/III/WPJ.20/KP.0703/2022","20220322","20220210","1,539,200","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","6","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","6","2021","","007","B82742M07RR5F9FH"
"7","PBK-00603/III/WPJ.20/KP.0703/2022","20220322","20220210","1,467,032","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","7","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","7","2021","","007","7E5FA3IDNMDI08AK"
"8","PBK-00604/III/WPJ.20/KP.0703/2022","20220322","20220210","356,800","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","8","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","8","2021","","007","A33BC3IDNMDI327G"
"9","PBK-00584/III/WPJ.20/KP.0703/2022","20220321","20210315","4,024,000","IDR","MASA","SETUJU","016247561","009","000","MAESINDO MASANUSA","411127","100","2","2021","007","016247561","009","000","MAESINDO MASANUSA","411126","100","2","2021","","007","253B600MPPE6VDI8"
"10","PBK-00585/III/WPJ.20/KP.0703/2022","20220321","20210816","9,983,833","IDR","MASA","SETUJU","016247561","009","000","MAESINDO MASANUSA","411127","100","7","2021","007","016247561","009","000","MAESINDO MASANUSA","411126","100","7","2021","","007","670DB7437IQQO7RO"
"11","PBK-00586/III/WPJ.20/KP.0703/2022","20220321","20220210","2,061,710","IDR","MASA","SETUJU","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","100","9","2021","007","947423075","008","000","TIGA IKHWAN MEDIKAL","411124","104","9","2021","","007","C254A1PIO18PCDHQ"
